step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
63,0.630,0.0000,0.0000,-0.2412,0.0049,0.0008,-9.7803,0.0004,-0.0001,0.0003,0.760,0.760,0.760,0.760,196,37,64
64,0.640,0.0000,0.0000,-0.2515,-0.0023,0.0012,-9.7547,0.0003,-0.0001,-0.0005,0.755,0.755,0.755,0.755,198,38,65
65,0.650,0.0000,0.0000,-0.2515,-0.0014,0.0035,-9.7151,0.0002,-0.0002,-0.0025,0.760,0.760,0.760,0.760,200,38,66
66,0.660,0.0000,0.0000,-0.2619,-0.0022,0.0016,-9.6769,-0.0004,-0.0004,-0.0010,0.755,0.755,0.755,0.755,203,39,67
67,0.670,0.0000,0.0000,-0.2619,0.0007,-0.0010,-9.6507,0.0009,0.0004,-0.0002,0.760,0.760,0.760,0.760,205,39,68
68,0.680,0.0000,0.0000,-0.2721,0.0025,0.0001,-9.6429,0.0003,-0.0006,0.0003,0.755,0.755,0.755,0.755,207,40,69
69,0.690,0.0000,0.0000,-0.2824,-0.0002,-0.0009,-9.6290,-0.0011,-0.0014,-0.0005,0.751,0.751,0.751,0.751,210,41,70
70,0.700,0.0000,0.0000,-0.2824,-0.0008,0.0001,-9.5778,0.0008,0.0003,-0.0008,0.756,0.756,0.756,0.756,212,41,71
71,0.710,0.0000,0.0000,-0.2925,-0.0038,-0.0010,-9.5682,-0.0014,-0.0004,0.0007,0.752,0.752,0.752,0.752,214,42,72
72,0.720,0.0000,0.0000,-0.2925,0.0029,0.0020,-9.5386,0.0002,-0.0012,0.0010,0.756,0.756,0.756,0.756,217,42,73
73,0.730,0.0000,0.0000,-0.3025,-0.0050,0.0002,-9.5539,0.0003,0.0000,-0.0007,0.752,0.752,0.752,0.752,219,43,74
74,0.740,0.0000,0.0000,-0.3025,0.0024,0.0017,-9.5482,0.0007,-0.0021,0.0002,0.757,0.757,0.757,0.757,221,43,75
75,0.750,0.0000,0.0000,-0.3125,-0.0006,-0.0024,-9.5712,-0.0003,-0.0007,-0.0004,0.753,0.753,0.753,0.753,224,44,76
76,0.760,0.0000,0.0000,-0.3224,0.0022,0.0039,-9.5580,-0.0005,-0.0016,0.0012,0.749,0.749,0.749,0.749,226,45,77
77,0.770,0.0000,0.0000,-0.3224,-0.0033,-0.0004,-9.5182,-0.0001,-0.0009,-0.0002,0.754,0.754,0.754,0.754,228,45,78
78,0.780,0.0000,0.0000,-0.3321,-0.0008,0.0037,-9.5105,0.0004,0.0001,0.0003,0.750,0.750,0.750,0.750,230,46,79
79,0.790,0.0000,0.0000,-0.3321,-0.0008,0.0018,-9.4926,0.0005,0.0005,-0.0020,0.755,0.755,0.755,0.755,233,46,80
80,0.800,0.0000,0.0000,-0.3417,0.0015,0.0011,-9.5177,-0.0006,0.0001,-0.0006,0.751,0.751,0.751,0.751,235,47,81
81,0.810,0.0000,0.0000,-0.3417,0.0033,0.0023,-9.5151,-0.0006,0.0013,-0.0001,0.756,0.756,0.756,0.756,237,47,82
82,0.820,0.0000,0.0000,-0.3513,-0.0037,-0.0039,-9.5230,0.0013,0.0013,0.0012,0.752,0.752,0.752,0.752,239,48,83
83,0.830,0.0000,0.0000,-0.3607,-0.0015,0.0056,-9.5265,-0.0026,0.0002,-0.0002,0.749,0.749,0.749,0.749,242,49,84
84,0.840,0.0000,0.0000,-0.3607,0.0047,-0.0022,-9.4927,-0.0005,-0.0007,-0.0010,0.754,0.754,0.754,0.754,244,49,85
85,0.850,0.0000,0.0000,-0.3700,0.0024,-0.0006,-9.5069,-0.0003,-0.0008,0.0005,0.751,0.751,0.751,0.751,247,50,86
86,0.860,0.0000,0.0000,-0.3700,-0.0021,-0.0010,-9.4881,0.0016,-0.0010,-0.0008,0.755,0.755,0.755,0.755,249,50,87
87,0.870,0.0000,0.0000,-0.3791,-0.0033,-0.0008,-9.5183,-0.0011,0.0012,0.0012,0.752,0.752,0.752,0.752,251,51,88
88,0.880,0.0000,0.0000,-0.3791,-0.0025,-0.0028,-9.5230,-0.0004,0.0006,0.0007,0.756,0.756,0.756,0.756,253,51,89
89,0.890,0.0000,0.0000,-0.3882,-0.0020,0.0007,-9.5537,0.0013,0.0011,-0.0006,0.753,0.753,0.753,0.753,256,52,90
90,0.900,0.0000,0.0000,-0.3971,-0.0029,-0.0022,-9.5526,-0.0009,-0.0003,0.0001,0.751,0.751,0.751,0.751,258,53,91
91,0.910,0.0000,0.0000,-0.3971,-0.0000,0.0029,-9.5250,-0.0000,0.0018,0.0003,0.755,0.755,0.755,0.755,260,53,92
92,0.920,0.0000,0.0000,-0.4060,0.0004,-0.0057,-9.5352,0.0008,0.0005,0.0002,0.752,0.752,0.752,0.752,263,54,93
93,0.930,0.0000,0.0000,-0.4060,0.0028,-0.0011,-9.5194,0.0000,-0.0018,0.0011,0.757,0.757,0.757,0.757,265,54,94
94,0.940,0.0000,0.0000,-0.4147,-0.0003,0.0014,-9.5458,0.0005,-0.0003,0.0010,0.754,0.754,0.754,0.754,267,55,95
95,0.950,0.0000,0.0000,-0.4147,0.0007,-0.0005,-9.5527,0.0001,-0.0007,0.0002,0.758,0.758,0.758,0.758,269,55,96
96,0.960,0.0000,0.0000,-0.4234,0.0031,-0.0016,-9.5758,0.0006,-0.0006,-0.0003,0.755,0.755,0.755,0.755,271,56,97
97,0.970,0.0000,0.0000,-0.4319,-0.0033,-0.0006,-9.5892,0.0023,-0.0000,-0.0018,0.753,0.753,0.753,0.753,274,57,98
98,0.980,0.0000,0.0000,-0.4319,0.0011,-0.0015,-9.5647,-0.0001,0.0004,0.0003,0.757,0.757,0.757,0.757,276,57,99
99,0.990,0.0000,0.0000,-0.4404,0.0007,-0.0020,-9.5793,-0.0005,0.0008,-0.0011,0.755,0.755,0.755,0.755,278,58,100
100,1.000,0.0000,0.0000,-0.4404,0.0020,-0.0023,-9.5800,0.0006,-0.0004,-0.0001,0.759,0.759,0.759,0.759,280,58,101
101,1.010,0.0000,0.0000,-0.4487,0.0006,-0.0001,-9.6119,0.0013,0.0000,-0.0002,0.756,0.756,0.756,0.756,283,59,102
102,1.020,0.0000,0.0000,-0.4487,-0.0008,0.0023,-9.6135,-0.0004,0.0002,-0.0009,0.760,0.760,0.760,0.760,285,59,103
103,1.030,0.0000,0.0000,-0.4570,-0.0009,-0.0006,-9.6615,0.0007,-0.0014,-0.0004,0.758,0.758,0.758,0.758,288,60,104
104,1.040,0.0000,0.0000,-0.4652,0.0007,-0.0008,-9.6543,-0.0002,0.0005,-0.0008,0.755,0.755,0.755,0.755,290,61,105
105,1.050,0.0000,0.0000,-0.4652,0.0006,-0.0006,-9.6297,0.0009,0.0018,-0.0001,0.760,0.760,0.760,0.760,292,61,106
106,1.060,0.0000,0.0000,-0.4734,0.0007,0.0013,-9.6488,-0.0004,-0.0016,-0.0006,0.757,0.757,0.757,0.757,295,62,107
